active_gvs,sham_gvs,time_index,n_subjects,mean_sham,mean_active,mean_active_minus_sham,median_active_minus_sham,p_perm,p_perm_exact,p_wilcoxon,p_paired_t,q_perm_fdr
gvs-02,gvs-01,0,18,0.021055787364303063,0.021657803138029976,0.0006020157737268846,0.002166650356724431,0.6945419311523438,True,0.39273834228515625,0.6926214238322697,0.9435286611880896
gvs-02,gvs-01,1,18,0.022947480197755648,0.02285981450971196,-8.766568804375101e-05,0.0015490043285958897,0.9532699584960938,True,0.8650436401367188,0.9536915739716696,0.9805062430245536
gvs-02,gvs-01,2,18,0.023478103051896324,0.024486486313422214,0.0010083832615259023,0.0018774444702622417,0.40367889404296875,True,0.32472991943359375,0.40513759325048004,0.8918032438858695
gvs-02,gvs-01,3,18,0.025971015938327,0.025577597741491757,-0.0003934181968352255,0.00023060758571095052,0.8050003051757812,True,0.932281494140625,0.7896914283490892,0.9805062430245536
gvs-02,gvs-01,4,18,0.026520883892364448,0.0250918203884452,-0.0014290635039192513,-0.0009716210425972024,0.39556121826171875,True,0.468292236328125,0.399046278704991,0.8918032438858695
gvs-02,gvs-01,5,18,0.026210103522722603,0.0228837343324497,-0.0033263691902729125,-0.0022056314721427828,0.1066741943359375,True,0.14151763916015625,0.10627601707588595,0.690216064453125
gvs-02,gvs-01,6,18,0.025614754788074116,0.02290491756267686,-0.002709837225397291,-0.0009821497936026123,0.1669921875,True,0.2645263671875,0.16504528162222876,0.75146484375
gvs-02,gvs-01,7,18,0.023511493710308355,0.02087264845703715,-0.002638845253271196,-0.00031350274658023276,0.160491943359375,True,0.34654998779296875,0.15890927521740564,0.75146484375
gvs-02,gvs-01,8,18,0.021825330481987273,0.01973644679125645,-0.0020888836907308273,-6.886447711037386e-05,0.28946685791015625,True,0.49507904052734375,0.29049000850232065,0.8918032438858695
gvs-03,gvs-01,0,18,0.021055787364303063,0.02163306633958202,0.0005772789752789454,-0.00023342591838602586,0.7807540893554688,True,1.0,0.7728369057477971,0.9805062430245536
gvs-03,gvs-01,1,18,0.022947480197755648,0.02395802213421076,0.0010105419364550743,0.0011921242701651291,0.6289596557617188,True,0.7660293579101562,0.6206848636318397,0.922642822265625
gvs-03,gvs-01,2,18,0.023478103051896324,0.0265425332372574,0.0030644301853610897,0.0026074896325965985,0.10050201416015625,True,0.0987396240234375,0.10243519146436351,0.690216064453125
gvs-03,gvs-01,3,18,0.025971015938327,0.026716136466553422,0.0007451205282264084,0.0005404781556605563,0.66937255859375,True,0.5798416137695312,0.65440964587953,0.9435286611880896
gvs-03,gvs-01,4,18,0.026520883892364448,0.025327702023543577,-0.0011931818688208054,-0.0009220010851985892,0.49558258056640625,True,0.4171142578125,0.48898502678175093,0.8918032438858695
gvs-03,gvs-01,5,18,0.026210103522722603,0.024934435341668122,-0.0012756681810545032,-0.0009478512230720764,0.48426055908203125,True,0.4171142578125,0.48607241219676567,0.8918032438858695
gvs-03,gvs-01,6,18,0.025614754788074116,0.02478540111407176,-0.0008293536740023931,0.0004612022955803041,0.6036529541015625,True,0.7660293579101562,0.6007645421383179,0.9054794311523438
gvs-03,gvs-01,7,18,0.023511493710308355,0.023365071488011264,-0.00014642222229708517,-0.00017684117120009626,0.92694091796875,True,0.7018814086914062,0.9184975140124111,0.9805062430245536
gvs-03,gvs-01,8,18,0.021825330481987273,0.020933373545577356,-0.0008919569364099086,-0.0011948305991051323,0.5633773803710938,True,0.2645263671875,0.5595245515321081,0.8918032438858695
gvs-04,gvs-01,0,18,0.021055787364303063,0.021046634460292493,-9.152904010617832e-06,0.0012110370002976292,0.9970932006835938,True,0.6094589233398438,0.9966525821357041,0.9970932006835938
gvs-04,gvs-01,1,18,0.022947480197755648,0.02357261810820427,0.0006251379104485626,0.0009597182371614416,0.7771072387695312,True,0.30379486083984375,0.7421889050480696,0.9805062430245536
gvs-04,gvs-01,2,18,0.023478103051896324,0.024488967149952,0.0010108640980556805,0.0031313332980332023,0.56976318359375,True,0.24620819091796875,0.539385330110967,0.8918032438858695
gvs-04,gvs-01,3,18,0.025971015938327,0.024378305325081964,-0.0015927106132450203,-0.001719323102350157,0.2823486328125,True,0.32472991943359375,0.2708328983339814,0.8918032438858695
gvs-04,gvs-01,4,18,0.026520883892364448,0.02408388389668903,-0.0024369999956754132,-0.0026585312636747092,0.09130859375,True,0.11870574951171875,0.09509440276520353,0.690216064453125
gvs-04,gvs-01,5,18,0.026210103522722603,0.02315542543600004,-0.0030546780867225644,-0.003138675269254747,0.07128143310546875,True,0.0736846923828125,0.07125105669832012,0.6415328979492188
gvs-04,gvs-01,6,18,0.025614754788074116,0.023058573195430327,-0.0025561815926438405,-0.0012892812797262176,0.15789794921875,True,0.22875213623046875,0.1555339827388657,0.75146484375
gvs-04,gvs-01,7,18,0.023511493710308355,0.02208978886039209,-0.0014217048499162845,-0.0007392751241393943,0.44446563720703125,True,0.6094589233398438,0.4361044982948359,0.8918032438858695
gvs-04,gvs-01,8,18,0.021825330481987273,0.0205094934519762,-0.0013158370300110915,-0.0011395561846155693,0.5382614135742188,True,0.39273834228515625,0.536191785120425,0.8918032438858695
gvs-05,gvs-01,0,18,0.021055787364303063,0.024377204026839756,0.0033214166625367045,0.003109643655921951,0.01142120361328125,True,0.02367401123046875,0.012822275830686954,0.445770263671875
gvs-05,gvs-01,1,18,0.022947480197755648,0.025239746704310166,0.0022922665065544766,0.0022599653286290433,0.131622314453125,True,0.18146514892578125,0.13244661325010346,0.7289851262019231
gvs-05,gvs-01,2,18,0.023478103051896324,0.027114626151897525,0.003636523100001223,0.003144080176385504,0.03699493408203125,True,0.030364990234375,0.040584521008174244,0.526611328125
gvs-05,gvs-01,3,18,0.025971015938327,0.028914957346621688,0.00294394140829468,0.003116323622102871,0.03478240966796875,True,0.03423309326171875,0.03714252908446859,0.526611328125
gvs-05,gvs-01,4,18,0.026520883892364448,0.028683407343118465,0.0021625234507540057,0.0025683698289571456,0.04388427734375,True,0.0431671142578125,0.04252802015784607,0.526611328125
gvs-05,gvs-01,5,18,0.026210103522722603,0.027241004142232992,0.0010309006195104125,0.0012219949831771787,0.45461273193359375,True,0.24620819091796875,0.4496365333412533,0.8918032438858695
gvs-05,gvs-01,6,18,0.025614754788074116,0.026985009313400015,0.0013702545253258308,0.0025265846629631446,0.3924560546875,True,0.39273834228515625,0.3791349127577156,0.8918032438858695
gvs-05,gvs-01,7,18,0.023511493710308355,0.024444417286399085,0.0009329235760907316,0.0006101897906316996,0.44158172607421875,True,0.3692169189453125,0.4359473103562963,0.8918032438858695
gvs-05,gvs-01,8,18,0.021825330481987273,0.023168690919204395,0.0013433604372171,0.0009339216835032365,0.44499969482421875,True,0.34654998779296875,0.449431309361762,0.8918032438858695
gvs-06,gvs-01,0,18,0.021055787364303063,0.021172160740658467,0.00011637337635538759,0.00014238147639357435,0.9410324096679688,True,0.7337265014648438,0.9356664921482363,0.9805062430245536
gvs-06,gvs-01,1,18,0.022947480197755648,0.022176777015467067,-0.0007707031822886255,-0.0012718971324307687,0.6407241821289062,True,0.44229888916015625,0.6408597599020753,0.922642822265625
gvs-06,gvs-01,2,18,0.023478103051896324,0.024817375879046793,0.001339272827150474,0.0008495694203128693,0.3009185791015625,True,0.2645263671875,0.30277412283699856,0.8918032438858695
gvs-06,gvs-01,3,18,0.025971015938327,0.025876694449868183,-9.432148845877047e-05,0.0003145142592605697,0.940277099609375,True,0.7987060546875,0.9401129056517608,0.9805062430245536
gvs-06,gvs-01,4,18,0.026520883892364448,0.02635439169786434,-0.00016649219450006738,0.0013224766844294397,0.906402587890625,True,0.932281494140625,0.9034879635341322,0.9805062430245536
gvs-06,gvs-01,5,18,0.026210103522722603,0.026439838788070078,0.00022973526534745447,0.0012308513405948247,0.899322509765625,True,0.6396942138671875,0.8995091098524806,0.9805062430245536
gvs-06,gvs-01,6,18,0.025614754788074116,0.023726296871837124,-0.00188845791623705,-0.0017561746059529502,0.2925567626953125,True,0.4171142578125,0.29285767777047406,0.8918032438858695
gvs-06,gvs-01,7,18,0.023511493710308355,0.02274238144640515,-0.0007691122639031962,0.0020453203508571834,0.7137603759765625,True,0.83172607421875,0.7134866055954121,0.9511163884943182
gvs-06,gvs-01,8,18,0.021825330481987273,0.020468899589893404,-0.0013564308920938548,-0.0009149001553897494,0.5235671997070312,True,0.8650436401367188,0.5178157565495496,0.8918032438858695
gvs-07,gvs-01,0,18,0.021055787364303063,0.020485502686739328,-0.0005702846775637358,0.0004780080925798069,0.7962112426757812,True,0.7337265014648438,0.7797899214799529,0.9805062430245536
gvs-07,gvs-01,1,18,0.022947480197755648,0.0218108027373346,-0.0011366774604210901,0.0005255837903686868,0.5982666015625,True,0.83172607421875,0.5951923518910005,0.9054794311523438
gvs-07,gvs-01,2,18,0.023478103051896324,0.02344454487990375,-3.355817199254702e-05,0.0008019643571235552,0.981231689453125,True,0.8985748291015625,0.981623225993373,0.9950518540933099
gvs-07,gvs-01,3,18,0.025971015938327,0.02623477425718033,0.0002637583188533611,-0.0006285806355867327,0.8743820190429688,True,0.83172607421875,0.8756196597246683,0.9805062430245536
gvs-07,gvs-01,4,18,0.026520883892364448,0.02546003636223365,-0.0010608475301307786,-0.0012689747225598583,0.5643081665039062,True,0.7018814086914062,0.5643374287585716,0.8918032438858695
gvs-07,gvs-01,5,18,0.026210103522722603,0.024352578077937045,-0.00185752544478554,0.0004644972776852996,0.38999176025390625,True,0.6705245971679688,0.38733022399368267,0.8918032438858695
gvs-07,gvs-01,6,18,0.025614754788074116,0.023888502638482856,-0.0017262521495913013,0.0003988951821583993,0.45502471923828125,True,0.7660293579101562,0.4488692661519471,0.8918032438858695
gvs-07,gvs-01,7,18,0.023511493710308355,0.022675152258825475,-0.0008363414514828862,0.001157928366380668,0.7265472412109375,True,0.7660293579101562,0.7266885410253034,0.9511163884943182
gvs-07,gvs-01,8,18,0.021825330481987273,0.01993551126317665,-0.0018898192188106372,0.0002941729245800051,0.4171295166015625,True,0.7987060546875,0.40358833357130885,0.8918032438858695
gvs-08,gvs-01,0,18,0.0181725425882885,0.021613757132003933,0.0034412145437153984,0.0018815536232830027,0.03948211669921875,True,0.05385589599609375,0.039748019795042555,0.526611328125
gvs-08,gvs-01,1,18,0.020136034902570432,0.02418614325427339,0.004050108351702941,0.0037573559318348215,0.01238250732421875,True,0.02367401123046875,0.013670338891374256,0.445770263671875
gvs-08,gvs-01,2,18,0.02088255042272713,0.024455880367450993,0.0035733299447238687,0.0033176976467088025,0.0633087158203125,True,0.0736846923828125,0.06404865098197991,0.6415328979492188
gvs-08,gvs-01,3,18,0.0232262774550442,0.025582364396102897,0.002356086941058713,0.0015609487745142643,0.235321044921875,True,0.34654998779296875,0.23026867631999287,0.8918032438858695
gvs-08,gvs-01,4,18,0.023874668966811636,0.025383093879527918,0.0015084249127162966,0.00023693518549075185,0.5090179443359375,True,0.6396942138671875,0.5046026365183465,0.8918032438858695
gvs-08,gvs-01,5,18,0.02363122683284345,0.022429982101543382,-0.001201244731300064,-0.0014636871556607464,0.5241622924804688,True,0.2121429443359375,0.5209147281510123,0.8918032438858695
gvs-08,gvs-01,6,18,0.022759105425561255,0.021545894383367355,-0.001213211042193956,-5.632215022141618e-05,0.45624542236328125,True,0.49507904052734375,0.443870029841412,0.8918032438858695
gvs-08,gvs-01,7,18,0.020623001680846638,0.020841401624939058,0.00021839994409241566,0.00014056659337487176,0.8968887329101562,True,0.468292236328125,0.8937028646713863,0.9805062430245536
gvs-08,gvs-01,8,18,0.019041144752690777,0.01977588613530285,0.0007347413826120776,0.002280016954537788,0.6873931884765625,True,0.32472991943359375,0.6723051044166373,0.9435286611880896
gvs-09,gvs-01,0,18,0.021055787364303063,0.021623457683804595,0.0005676703195015178,-0.0002008499294222782,0.526611328125,True,0.83172607421875,0.5263418052846973,0.8918032438858695
gvs-09,gvs-01,1,18,0.022947480197755648,0.023856381068544017,0.0009089008707883617,0.00020393377922794942,0.3996429443359375,True,0.550872802734375,0.38006191892433205,0.8918032438858695
gvs-09,gvs-01,2,18,0.023478103051896324,0.025812444041870733,0.002334340989974423,0.000777877929374577,0.1150360107421875,True,0.19638824462890625,0.11496585135651517,0.690216064453125
gvs-09,gvs-01,3,18,0.025971015938327,0.025882064136931022,-8.895180139596177e-05,-8.378026177466996e-05,0.9468460083007812,True,0.932281494140625,0.9464493347956864,0.9805062430245536
gvs-09,gvs-01,4,18,0.026520883892364448,0.0256479555350719,-0.0008729283572925274,-0.0006818282913751555,0.553985595703125,True,0.4171142578125,0.5509677817634655,0.8918032438858695
gvs-09,gvs-01,5,18,0.026210103522722603,0.025102445767016066,-0.0011076577557065507,-0.00026686964706735053,0.39015960693359375,True,0.6396942138671875,0.3904462822377093,0.8918032438858695
gvs-09,gvs-01,6,18,0.025614754788074116,0.02364724073518863,-0.001967514052885514,0.00031570959768350074,0.27956390380859375,True,0.6705245971679688,0.2780396076272769,0.8918032438858695
gvs-09,gvs-01,7,18,0.023511493710308355,0.023631383502703454,0.00011988979239510165,0.0010525651019437123,0.929931640625,True,0.6094589233398438,0.9301572117274179,0.9805062430245536
gvs-09,gvs-01,8,18,0.021825330481987273,0.021741238452109388,-8.409202987789618e-05,0.0008986978990958322,0.9477386474609375,True,0.7018814086914062,0.946103622943784,0.9805062430245536
